id_clima,id_municipio,fecha,cielo,t_max,t_min,prob_prec,velocidad_viento,direccion_viento
85,270,2024-11-26,Despejado,22.80,8.30,0.00,4.10,Noreste
86,270,2024-11-27,Despejado,25.00,8.20,0.00,4.00,Suroeste
87,270,2024-11-28,Despejado,27.80,11.00,0.00,2.30,Norte
88,270,2024-11-29,Despejado,23.80,11.30,0.00,4.20,Este
89,749,2024-11-26,Despejado,18.90,4.80,0.00,9.70,Norte
90,749,2024-11-27,Despejado,23.00,4.60,0.00,4.80,Oeste
91,749,2024-11-28,Despejado,24.60,7.70,0.00,5.10,Norte
92,749,2024-11-29,Despejado,20.80,6.50,0.00,8.70,Noreste
93,391,2024-11-26,Despejado,19.50,4.80,0.00,6.20,Noreste
94,391,2024-11-27,Despejado,23.70,5.40,0.00,3.20,Norte
95,391,2024-11-28,Despejado,25.90,7.70,0.00,3.10,Noreste
96,391,2024-11-29,Despejado,20.90,6.60,0.00,6.20,Noreste
97,1557,2024-11-26,Despejado,24.30,7.30,0.00,7.70,Norte
98,1557,2024-11-27,Despejado,25.50,7.00,0.00,4.70,Norte
99,1557,2024-11-28,Despejado,27.20,9.80,0.00,4.70,Sur
100,1557,2024-11-29,Despejado,25.80,9.80,0.00,6.90,Norte
101,1234,2024-11-26,Despejado,27.40,9.70,0.00,6.30,Este
102,1234,2024-11-27,Despejado,26.90,9.40,0.00,4.90,Noroeste
103,1234,2024-11-28,Despejado,28.10,11.60,0.00,4.60,Sureste
104,1234,2024-11-29,Despejado,29.00,12.50,0.00,5.00,Sureste
105,677,2024-11-26,Despejado,24.40,6.70,0.00,7.30,Norte
106,677,2024-11-27,Despejado,25.00,6.60,0.00,5.00,Noroeste
107,677,2024-11-28,Despejado,26.70,9.40,0.00,5.20,Noroeste
108,677,2024-11-29,Despejado,25.50,9.10,0.00,6.60,Norte
109,2184,2024-11-26,Despejado,20.20,6.00,0.00,7.40,Noroeste
110,2184,2024-11-27,Despejado,24.00,6.40,0.00,5.30,Suroeste
111,2184,2024-11-28,Despejado,26.80,8.90,0.00,4.50,Noroeste
112,2184,2024-11-29,Despejado,21.50,8.30,0.00,7.10,Noroeste
113,2131,2024-11-26,Despejado,24.60,7.20,0.00,7.80,Norte
114,2131,2024-11-27,Despejado,25.40,6.90,0.00,4.90,Noroeste
115,2131,2024-11-28,Despejado,27.10,9.80,0.00,4.90,Noroeste
116,2131,2024-11-29,Despejado,25.80,9.60,0.00,7.10,Norte
117,505,2024-11-26,Despejado,20.00,5.80,0.00,7.00,Noroeste
118,505,2024-11-27,Despejado,23.80,6.10,0.00,5.40,Suroeste
119,505,2024-11-28,Despejado,26.70,8.60,0.00,4.30,Oeste
120,505,2024-11-29,Despejado,21.20,8.00,0.00,6.60,Noroeste
121,2152,2024-11-26,Despejado,22.30,8.20,0.00,4.20,Noreste
122,2152,2024-11-27,Despejado,24.90,8.10,0.00,3.40,Oeste
123,2152,2024-11-28,Despejado,27.70,11.10,0.00,3.20,Noreste
124,2152,2024-11-29,Despejado,23.50,10.80,0.00,4.40,Este
125,324,2024-11-26,Despejado,19.70,5.50,0.00,9.00,Noreste
126,324,2024-11-27,Despejado,23.70,5.50,0.00,3.10,Noreste
127,324,2024-11-28,Despejado,24.80,7.60,0.00,4.30,Norte
128,324,2024-11-29,Despejado,21.80,7.10,0.00,8.50,Este
129,2197,2024-11-26,Despejado,24.70,6.20,0.00,7.70,Noroeste
130,2197,2024-11-27,Despejado,24.70,6.20,0.00,5.60,Noroeste
131,2197,2024-11-28,Despejado,26.60,9.10,0.00,6.10,Noroeste
132,2197,2024-11-29,Despejado,25.50,8.60,0.00,6.70,Noroeste
133,2192,2024-11-26,Despejado,23.40,6.00,0.00,7.20,Norte
134,2192,2024-11-27,Despejado,24.20,6.00,0.00,4.00,Noroeste
135,2192,2024-11-28,Despejado,25.90,8.90,0.00,5.10,Norte
136,2192,2024-11-29,Despejado,24.60,8.10,0.00,5.90,Norte
137,891,2024-11-26,Despejado,22.30,8.50,0.00,4.30,Noreste
138,891,2024-11-27,Despejado,24.90,8.40,0.00,3.70,Oeste
139,891,2024-11-28,Despejado,27.70,11.40,0.00,3.20,Norte
140,891,2024-11-29,Despejado,23.50,11.00,0.00,4.40,Este
141,298,2024-11-26,Despejado,24.70,6.60,0.00,7.30,Noroeste
142,298,2024-11-27,Despejado,25.00,6.50,0.00,5.20,Noroeste
143,298,2024-11-28,Despejado,26.80,9.30,0.00,5.60,Noroeste
144,298,2024-11-29,Despejado,25.60,9.00,0.00,6.60,Norte
145,1992,2024-11-26,Despejado,23.50,6.00,0.00,7.20,Norte
146,1992,2024-11-27,Despejado,24.20,6.00,0.00,4.00,Noroeste
147,1992,2024-11-28,Despejado,26.00,8.90,0.00,5.10,Norte
148,1992,2024-11-29,Despejado,24.70,8.10,0.00,5.80,Norte
149,268,2024-11-26,Despejado,21.00,5.60,0.00,7.20,Noreste
150,268,2024-11-27,Despejado,23.10,5.60,0.00,2.60,Noroeste
151,268,2024-11-28,Despejado,24.30,7.90,0.00,3.40,Noreste
152,268,2024-11-29,Despejado,22.80,7.60,0.00,5.90,Este
153,2086,2024-11-26,Despejado,24.70,6.80,0.00,7.50,Norte
154,2086,2024-11-27,Despejado,25.20,6.60,0.00,5.10,Noroeste
155,2086,2024-11-28,Despejado,26.90,9.50,0.00,5.40,Noroeste
156,2086,2024-11-29,Despejado,25.70,9.30,0.00,6.90,Norte
157,1339,2024-11-26,Despejado,24.50,7.30,0.00,7.60,Norte
158,1339,2024-11-27,Despejado,25.40,7.10,0.00,4.70,Noroeste
159,1339,2024-11-28,Despejado,27.10,10.00,0.00,4.30,Noroeste
160,1339,2024-11-29,Despejado,25.70,9.70,0.00,7.00,Norte
161,48,2024-11-26,Despejado,22.80,8.40,0.00,4.90,Suroeste
162,48,2024-11-27,Despejado,25.10,8.10,0.00,5.30,Suroeste
163,48,2024-11-28,Despejado,27.80,11.00,0.00,2.90,Suroeste
164,48,2024-11-29,Despejado,23.80,11.50,0.00,4.60,Este
165,1936,2024-11-26,Despejado,24.50,6.30,0.00,7.20,Noroeste
166,1936,2024-11-27,Despejado,24.50,6.30,0.00,5.30,Noroeste
