id_municipio,id_estado,nombre_municipio
252,8,Santiago Nundiche
253,4,Chalma
254,21,Palmillas
255,15,Comondú
256,6,Pánuco de Coronado
257,11,Epitacio Huerta
258,7,Tecolotlán
259,2,San Juan Cancuc
260,12,Iztacalco
261,13,Tenancingo
262,8,San Francisco Nuxaño
263,10,Chikindzonot
264,9,La Magdalena Tlatlauquitepec
265,22,Atoyac de Álvarez
266,13,Santa Cruz Quilehtla
267,11,Tlalpujahua
268,8,Santa Cruz Tayata
269,22,Pungarabato
270,8,San Mateo Yoloxochitlán
271,8,Tlalixtac de Cabrera
272,8,Santa Cruz Zenzontepec
273,2,Chanal
274,2,Chalchihuitán
275,22,Atlixtac
276,29,Tepache
277,19,Chilcuautla
278,4,Juan Rodríguez Clara
279,8,Santa Marí Jacatepec
280,2,Ixhuatán
281,5,Santa Isabel
282,8,Santa Marí Pápalo
283,10,Dzilam González
284,4,Cosamaloapan de Carpio
285,15,Loreto
286,4,Acajete
287,9,Zacatlán
288,1,Matamoros
289,8,San Pablo Macuiltianguis
290,1,General Cepeda
291,6,Gómez Palacio
292,7,Tonaya
293,11,Morelos
294,8,San Bernardo Mixtepec
295,8,Santo Tomás Ocotepec
296,8,Santiago Apóstol
297,7,Hostotipaquillo
298,8,Santa Catarina Quiané
299,4,Tres Valles
300,22,General Canuto A. Neri
301,8,San Juan Guichicovi
302,8,Santiago Pinotepa Nacional
303,7,San Cristóbal de la Barranca
304,29,Cucurpe
305,27,Tultepec
306,22,Huamuxtitlán
307,8,Guadalupe Etla
308,2,Chicomuselo
309,29,Arizpe
310,13,Muñoz de Domingo Arenas
311,7,Cihuatlán
312,11,Copándaro
313,9,Ahuehuetitla
314,8,Santa Ana Zegache
315,4,Alvarado
316,8,San Jerónimo Sosola
317,27,Tepotzotlán
318,19,Zempoala
319,9,Coatzingo
320,27,Temamatla
321,5,Nuevo Casas Grandes
322,17,Ahome
323,8,San Pedro Ocotepec
324,8,San Pedro Yucunama
325,7,Guachinango
326,2,Palenque
327,8,San Andrés Tepetlapa
328,8,Santa Marí Texcatitlán
329,8,San Agustín Chayuco
330,13,Hueyotlipan
331,13,San Jerónimo Zacualpan
332,8,San Juan Bautista Atatlahuca
333,11,Sahuayo
334,4,Tonayán
335,10,Chacsinkín
336,27,Villa de Allende
337,10,Akil
338,11,Salvador Escalante
339,2,El Porvenir
340,8,San Pedro Tidaá
341,8,Santiago Tapextla
342,8,San Francisco Ixhuatán
343,8,Villa Sola de Vega
344,31,Santa Catarina
345,29,Huachinera
346,11,Jiquilpan
347,4,Tuxtilla
348,8,San Juan Bautista Tuxtepec
349,9,Chigmecatitlán
350,28,Villa Hidalgo
351,13,Ixtacuixtla de Mariano Matamoros
352,24,León
353,28,Susticacán
354,14,Peñamiller
355,21,Miquihuana
356,4,Alto Lucero de Gutiérrez Barrios
357,2,Tzimol
358,31,Vallecillo
359,8,San Miguel Amatlán
360,7,Jalostotitlán
361,9,Jolalpan
362,23,Escárcega
363,4,Cuichapa
364,8,San Miguel Aloápam
365,21,San Fernando
366,3,Salinas
367,29,Pitiquito
368,26,Asientos
369,8,San Jerónimo Tecóatl
370,9,Oriental
371,8,San Miguel Chicahua
372,7,Tala
373,8,Magdalena Ocotlán
374,4,Tlacojalpan
375,22,Xochihuehuetlán
376,31,Cerralvo
377,30,Jonacatepec de Leandro Valle
378,9,Jalpan
379,4,Tlaltetela
380,11,La Huacana
381,19,Agua Blanca de Iturbide
382,30,Emiliano Zapata
383,8,San Juan Achiutla
384,4,Ixcatepec
385,17,Mazatlán
386,4,Filomeno Mata
387,8,Santa Cruz Acatepec
388,21,González
389,4,Coatzintla
390,8,Soledad Etla
